# Query Group 1 Filters: tissues: musculature | cellTypes: muscle cell, muscle precursor cell, cell of skeletal muscle, skeletal muscle satellite stem cell, skeletal muscle satellite cell, skeletal muscle fiber, myotube
# Query Group 2 Filters: tissues: skin of body | cellTypes: fibroblast, skin fibroblast
Gene,Log Fold Change,Effect Size,Adjusted P-Value
RPL21P91,-0.002,-0.050,2.697e-64
AC159540.3,-0.002,-0.050,2.689e-64
RPL21P13,-0.002,-0.050,2.439e-64
RPS15AP12,-0.002,-0.050,2.433e-64
FGF20,-0.002,-0.050,2.409e-64
TLR2,-0.003,-0.050,2.477e-64
CST6,-0.004,-0.050,2.436e-64
FBXW7-AS1,-0.002,-0.050,1.944e-64
RNF227,-0.004,-0.050,2.203e-64
ATF4P4,-0.002,-0.050,1.576e-64
RPL17P43,-0.002,-0.050,1.545e-64
UQCRBP1,-0.003,-0.050,1.164e-64
DCHS2,-0.004,-0.050,1.073e-64
SRI-AS1,-0.002,-0.050,8.646e-65
SRP9P1,-0.003,-0.050,7.483e-65
ZNF90,-0.010,-0.050,7.268e-65
SBDS,-0.041,-0.050,7.387e-65
SPCS2P4,-0.003,-0.050,5.082e-65
RP11-111F5.4,-0.004,-0.050,3.422e-65
DYNC1I2P1,-0.002,-0.050,2.881e-65
RPP21,-0.006,-0.050,2.578e-65
RPL39P6,-0.002,-0.050,1.810e-65
CD2BP2,-0.014,-0.050,2.422e-65
KCNK15-AS1,-0.006,-0.050,2.193e-65
C12orf40,-0.010,-0.050,2.199e-65
KCNIP4-IT1,-0.002,-0.050,1.631e-65
RPL7AP53,-0.002,-0.050,1.547e-65
RP1-257A7.5,-0.002,-0.050,1.535e-65
HOXD-AS2,-0.008,-0.050,1.911e-65
DALRD3,-0.012,-0.050,1.855e-65
LINC01278,-0.004,-0.050,1.471e-65
LINC00911,-0.002,-0.050,1.216e-65
CTC-564N23.2,-0.002,-0.050,1.079e-65
AC093627.8,-0.002,-0.050,9.101e-66
EXTL2,-0.014,-0.050,1.218e-65
ENSG00000277836.1,-0.002,-0.050,7.531e-66
FEV,-0.002,-0.050,7.280e-66
RP11-794G24.1,-0.002,-0.050,7.118e-66
RELL2,-0.003,-0.050,7.818e-66
LINC00578,-0.008,-0.050,8.113e-66
BATF3,-0.004,-0.050,6.986e-66
ADAMTS18,-0.005,-0.050,7.186e-66
RP11-473M20.5,-0.003,-0.050,4.904e-66
LLGL2,-0.006,-0.050,5.560e-66
RPS27AP2,-0.002,-0.050,3.864e-66
ATP6V0D2,-0.004,-0.050,4.301e-66
RP11-351I21.11,-0.002,-0.050,3.747e-66
MT1L,-0.004,-0.050,3.993e-66
RPL21P112,-0.002,-0.050,3.239e-66
GASAL1,-0.005,-0.050,3.668e-66
LINC00426,-0.003,-0.050,3.104e-66
RP11-242F24.2,-0.004,-0.050,2.589e-66
SPACA3,-0.004,-0.050,2.393e-66
RPL32P31,-0.002,-0.051,1.543e-66
FBXO16,-0.008,-0.051,1.612e-66
CARD17,-0.002,-0.051,1.102e-66
MTMR9LP,-0.003,-0.051,1.073e-66
EBF4,-0.007,-0.051,1.074e-66
SNORD3B-2,-0.003,-0.051,7.563e-67
S100A7,-0.003,-0.051,6.143e-67
PLCD1,-0.007,-0.051,7.425e-67
RP11-114O18.1,-0.002,-0.051,5.626e-67
ADPGK-AS1,-0.003,-0.051,5.656e-67
PRRC2C,-0.038,-0.051,6.357e-67
MCTP2,-0.006,-0.051,4.969e-67
RP11-510J16.5,-0.005,-0.051,4.683e-67
RP5-1007H16.1,-0.004,-0.051,3.980e-67
MINDY4B,-0.002,-0.051,3.482e-67
PRDM6,-0.006,-0.051,4.071e-67
VBP1,-0.019,-0.051,4.107e-67
NRSN1,-0.003,-0.051,2.906e-67
BBS7-DT,-0.002,-0.051,2.634e-67
OR52A1,-0.003,-0.051,2.777e-67
LINC01672,-0.003,-0.051,2.364e-67
DPYSL5,-0.007,-0.051,2.795e-67
RTP4,-0.003,-0.051,2.281e-67
F10-AS1,-0.002,-0.051,1.900e-67
MPZL2,-0.003,-0.051,1.827e-67
RP4-621F18.2,-0.003,-0.051,1.617e-67
KDSR,-0.023,-0.051,1.802e-67
RPL7AP11,-0.003,-0.051,1.259e-67
RPS17P5,-0.002,-0.051,1.227e-67
RP11-179B15.5,-0.004,-0.051,1.387e-67
LINC02570,-0.003,-0.051,1.103e-67
RP11-21M24.3,-0.004,-0.051,9.748e-68
RPL35P1,-0.003,-0.051,9.085e-68
HPCA,-0.002,-0.051,8.376e-68
SEC63P1,-0.003,-0.051,8.105e-68
RP11-295K3.1,-0.003,-0.051,7.617e-68
SNORA19,-0.003,-0.051,7.520e-68
GTF2A1L,-0.003,-0.051,7.234e-68
ARHGEF25,-0.007,-0.051,8.209e-68
CCDC96,-0.003,-0.051,6.627e-68
RPS15AP40,-0.002,-0.051,4.992e-68
SLC28A2,-0.005,-0.051,5.135e-68
DOK3,-0.006,-0.051,5.285e-68
AC073987.1,-0.004,-0.051,4.356e-68
KCTD11,-0.006,-0.051,4.664e-68
RP11-52J3.2,-0.003,-0.051,3.586e-68
HLA-DPA1,-0.006,-0.051,4.316e-68
KHDRBS1,-0.029,-0.051,4.555e-68
HMGCS1,-0.016,-0.051,4.325e-68
BET1L,-0.014,-0.051,3.720e-68
EGFLAM-AS4,-0.002,-0.051,2.515e-68
CTA-363E19.2,-0.003,-0.051,2.530e-68
HSPG2,-0.029,-0.051,3.494e-68
MAGI3,-0.022,-0.051,2.866e-68
LINC01964,-0.003,-0.051,2.019e-68
RP11-467L13.7,-0.006,-0.051,2.382e-68
FAM9B,-0.004,-0.051,1.874e-68
AKNA,-0.007,-0.051,1.982e-68
PIK3R2,-0.004,-0.051,1.577e-68
TNFAIP8L2,-0.003,-0.051,1.267e-68
TEX41,-0.006,-0.051,1.076e-68
CCDC169,-0.006,-0.051,1.055e-68
SEC22B4P,-0.002,-0.051,8.322e-69
ZSCAN32,-0.009,-0.051,8.242e-69
SLC1A2-AS1,-0.002,-0.051,6.173e-69
LRCOL1,-0.003,-0.051,4.584e-69
IL4I1,-0.004,-0.051,4.615e-69
ANP32BP1,-0.002,-0.051,3.984e-69
CCDC170,-0.007,-0.052,4.788e-69
NACA4P,-0.003,-0.052,3.785e-69
KLHDC7A,-0.002,-0.052,3.385e-69
LINC01932,-0.002,-0.052,3.135e-69
RP11-219B4.7,-0.003,-0.052,3.211e-69
ZNF418,-0.009,-0.052,3.517e-69
RTEL1-TNFRSF6B,-0.006,-0.052,3.123e-69
RP11-9M16.2,-0.003,-0.052,2.465e-69
STAG3L2,-0.003,-0.052,2.273e-69
SPRYD3,-0.009,-0.052,2.669e-69
ATP6V0E2,-0.008,-0.052,2.028e-69
ARPIN-AP3S2,-0.002,-0.052,1.541e-69
LLNLR-249E10.1,-0.002,-0.052,1.449e-69
SAG,-0.004,-0.052,1.640e-69
RP1-142L7.9,-0.002,-0.052,1.313e-69
STXBP5L,-0.008,-0.052,1.689e-69
CNKSR2,-0.011,-0.052,1.653e-69
RP11-261P24.2,-0.003,-0.052,1.028e-69
RPS24P7,-0.002,-0.052,9.383e-70
ACTG1P21,-0.003,-0.052,8.977e-70
TBC1D9,-0.007,-0.052,1.006e-69
VPS16,-0.012,-0.052,9.447e-70
AIMP1,-0.022,-0.052,9.759e-70
CISTR,-0.002,-0.052,6.543e-70
COLCA1,-0.005,-0.052,7.416e-70
JADE2,-0.011,-0.052,7.945e-70
PRRT1,-0.004,-0.052,6.526e-70
LINC02660,-0.003,-0.052,5.561e-70
RP11-568N6.1,-0.003,-0.052,5.466e-70
RP11-403P17.4,-0.003,-0.052,4.931e-70
HBZ,-0.003,-0.052,4.927e-70
ANXA2P3,-0.003,-0.052,4.317e-70
RPL5P18,-0.002,-0.052,4.168e-70
HR,-0.005,-0.052,4.972e-70
AC007349.5,-0.002,-0.052,3.678e-70
ANXA13,-0.005,-0.052,4.222e-70
FLJ13224,-0.002,-0.052,3.035e-70
RP11-130C6.1,-0.003,-0.052,2.701e-70
TBXA2R,-0.004,-0.052,2.618e-70
FGD5,-0.008,-0.052,2.816e-70
RPL29P11,-0.003,-0.052,2.051e-70
RPS15AP17,-0.003,-0.052,2.007e-70
DYNLRB2,-0.003,-0.052,1.722e-70
SRRM3,-0.007,-0.052,1.730e-70
TRBV29-1,-0.002,-0.052,1.367e-70
NEK2,-0.003,-0.052,1.507e-70
TBC1D8B,-0.007,-0.052,1.555e-70
GPR137B,-0.009,-0.052,1.481e-70
EEF1A1P7,-0.002,-0.052,1.058e-70
CCDC112,-0.010,-0.052,1.430e-70
ITGB4,-0.005,-0.052,1.253e-70
RPSAP12,-0.003,-0.052,8.045e-71
RP11-173P15.9,-0.003,-0.052,7.398e-71
LINC02601,-0.002,-0.052,5.758e-71
AF011889.2,-0.002,-0.052,5.632e-71
SFTA1P,-0.003,-0.052,5.389e-71
RP4-555D20.2,-0.002,-0.052,4.104e-71
TRMT9B,-0.010,-0.052,4.960e-71
SWAP70,-0.014,-0.052,4.928e-71
PLPPR4,-0.003,-0.052,3.795e-71
RNU4ATAC,-0.003,-0.052,3.128e-71
E2F2,-0.004,-0.052,3.233e-71
ADGRB1,-0.003,-0.052,2.600e-71
PARP14,-0.015,-0.052,2.710e-71
CCL7,-0.003,-0.052,1.926e-71
RPS4XP21,-0.002,-0.052,1.634e-71
RPL12P19,-0.003,-0.052,1.502e-71
KIF26B-AS1,-0.004,-0.052,1.568e-71
LINC01050,-0.002,-0.052,1.268e-71
C3orf80,-0.003,-0.052,1.130e-71
RP11-29H23.4,-0.003,-0.052,1.050e-71
P2RX5-TAX1BP3,-0.006,-0.053,1.032e-71
RP5-855F16.1,-0.003,-0.053,8.827e-72
MIR194-2HG,-0.004,-0.053,9.139e-72
LEP,-0.004,-0.053,8.862e-72
RP11-359I18.5,-0.003,-0.053,8.476e-72
CTD-2616J11.14,-0.003,-0.053,7.351e-72
SOX11,-0.010,-0.053,9.437e-72
LINC01010,-0.005,-0.053,7.427e-72
NETO1,-0.003,-0.053,6.062e-72
RNPS1P1,-0.003,-0.053,5.578e-72
RNF26,-0.008,-0.053,7.260e-72
RPLP0P2,-0.003,-0.053,5.185e-72
RP11-394O4.6,-0.003,-0.053,4.525e-72
RP11-709D24.5,-0.003,-0.053,4.344e-72
RP11-148K1.12,-0.003,-0.053,4.318e-72
ATP2B4,-0.024,-0.053,3.889e-72
ADAMDEC1,-0.003,-0.053,2.557e-72
PPY,-0.002,-0.053,2.418e-72
SNHG26,-0.004,-0.053,2.659e-72
ACTBP2,-0.003,-0.053,2.275e-72
RP11-344A16.2,-0.003,-0.053,1.935e-72
LIMA1,-0.040,-0.053,2.464e-72
PA2G4P4,-0.003,-0.053,1.700e-72
CEBPA,-0.007,-0.053,2.075e-72
RN7SL832P,-0.005,-0.053,1.705e-72
RP11-789C2.1,-0.004,-0.053,1.644e-72
EPCAM,-0.005,-0.053,1.478e-72
AC062031.1,-0.002,-0.053,1.020e-72
ST7-AS1,-0.005,-0.053,9.411e-73
RP11-429E11.3,-0.003,-0.053,6.254e-73
ARHGAP40,-0.003,-0.053,5.314e-73
FGF10,-0.007,-0.053,5.949e-73
AC093627.7,-0.003,-0.053,3.918e-73
HSP90AB4P,-0.003,-0.053,3.279e-73
DCSTAMP,-0.003,-0.053,3.113e-73
GNG3,-0.003,-0.053,2.859e-73
KB-1205A7.2,-0.004,-0.053,3.201e-73
BTBD11,-0.009,-0.053,3.100e-73
RPL35P4,-0.003,-0.053,2.315e-73
RP11-181E10.3,-0.003,-0.053,2.052e-73
NPM1P40,-0.003,-0.053,1.897e-73
CADPS,-0.009,-0.053,2.315e-73
CBR3-AS1,-0.003,-0.053,1.779e-73
ZNF732,-0.003,-0.053,1.544e-73
WNT5A-AS1,-0.003,-0.053,1.449e-73
ELAPOR2,-0.012,-0.053,1.918e-73
RP11-1082L8.3,-0.004,-0.053,1.504e-73
ZNF185,-0.004,-0.053,1.492e-73
IFITM5,-0.003,-0.053,1.294e-73
LRRC37BP1,-0.003,-0.053,1.146e-73
RPL29P7,-0.003,-0.053,1.026e-73
CTD-2288F12.1,-0.007,-0.053,1.299e-73
ETV7,-0.004,-0.053,1.073e-73
AP5S1,-0.016,-0.053,1.266e-73
RPS15AP11,-0.003,-0.053,9.128e-74
RPL17P41,-0.003,-0.053,6.594e-74
KRT19,-0.004,-0.053,6.488e-74
SKA1,-0.004,-0.053,5.590e-74
C1QTNF6,-0.010,-0.053,4.814e-74
WHRN,-0.004,-0.053,3.582e-74
LINC02607,-0.005,-0.053,3.661e-74
CCDC62,-0.013,-0.053,3.464e-74
ENTHD1,-0.005,-0.053,2.725e-74
REM1,-0.005,-0.053,2.716e-74
RP5-919F19.5,-0.003,-0.053,2.385e-74
TMEM14DP,-0.003,-0.053,1.996e-74
CTD-2184D3.6,-0.004,-0.053,2.114e-74
RUBCNL,-0.006,-0.053,2.416e-74
H4C1,-0.003,-0.054,1.761e-74
GPRASP2,-0.007,-0.054,2.080e-74
CD2,-0.004,-0.054,1.494e-74
RAET1E-AS1_ENSG00000268592,-0.006,-0.054,1.565e-74
RPL10P10,-0.003,-0.054,1.238e-74
C8orf33,-0.014,-0.054,1.395e-74
PLCXD3,-0.006,-0.054,1.140e-74
BMS1P12,-0.003,-0.054,8.381e-75
CMIP,-0.010,-0.054,8.279e-75
APLN,-0.004,-0.054,6.436e-75
LINC00484_ENSG00000235641,-0.003,-0.054,5.962e-75
RHPN1,-0.004,-0.054,5.971e-75
LINC01564,-0.003,-0.054,4.228e-75
MTCO2P2,-0.004,-0.054,4.296e-75
KCNF1,-0.003,-0.054,4.037e-75
RPS2P32,-0.003,-0.054,3.497e-75
RP11-443C10.1,-0.003,-0.054,3.168e-75
RPP25,-0.006,-0.054,3.108e-75
LA16c-312E8.2,-0.004,-0.054,2.760e-75
RPL8P2,-0.003,-0.054,2.394e-75
ALX1,-0.003,-0.054,2.459e-75
IRF9,-0.005,-0.054,2.760e-75
RP11-491F9.1,-0.004,-0.054,2.495e-75
TMEM248,-0.020,-0.054,2.933e-75
LINC01412,-0.003,-0.054,1.962e-75
TDRKH-AS1,-0.005,-0.054,1.646e-75
CRIP1P4,-0.003,-0.054,1.331e-75
PKP3,-0.003,-0.054,1.323e-75
MICALL2,-0.011,-0.054,1.419e-75
RP11-231I16.1,-0.006,-0.054,1.212e-75
EPHB4,-0.006,-0.054,1.192e-75
C11orf87,-0.003,-0.054,8.587e-76
LINC02511,-0.008,-0.054,1.099e-75
EPX,-0.006,-0.054,9.222e-76
FBRS,-0.018,-0.054,9.746e-76
C2CD4D,-0.003,-0.054,7.311e-76
TRABD2B,-0.006,-0.054,8.673e-76
FKBP1C,-0.004,-0.054,8.121e-76
CD1C,-0.003,-0.054,6.643e-76
GPR173,-0.007,-0.054,7.718e-76
AC114730.3,-0.004,-0.054,4.805e-76
AP001476.3,-0.003,-0.054,4.066e-76
GP1BB,-0.003,-0.054,3.594e-76
C4orf46,-0.010,-0.054,3.911e-76
RPS4XP8,-0.003,-0.054,2.652e-76
IRX4,-0.005,-0.054,3.014e-76
LINC01391,-0.003,-0.054,2.486e-76
C6orf47-AS1,-0.003,-0.054,2.402e-76
RPL21P111,-0.003,-0.054,2.264e-76
RPL18AP15,-0.003,-0.054,2.197e-76
CD52,-0.006,-0.054,2.299e-76
TMEM59L,-0.007,-0.054,1.984e-76
IGKV2-24,-0.003,-0.054,1.070e-76
AC000032.2,-0.004,-0.054,1.122e-76
GDF5-AS1,-0.003,-0.054,9.268e-77
MTCO2P22,-0.003,-0.054,6.595e-77
HMGA1,-0.017,-0.054,8.760e-77
LINC00526,-0.008,-0.054,6.045e-77
GJB2,-0.003,-0.054,4.574e-77
SERTAD4-AS1,-0.005,-0.054,5.345e-77
RP11-416N2.4,-0.005,-0.054,4.565e-77
FOLR1,-0.003,-0.054,3.377e-77
AMBP,-0.003,-0.055,3.425e-77
RP11-196H14.3,-0.003,-0.055,2.803e-77
RGS1,-0.005,-0.055,2.883e-77
RP4-622L5.7,-0.003,-0.055,2.585e-77
ALDH1L1-AS1,-0.003,-0.055,2.111e-77
ZNF469,-0.005,-0.055,2.158e-77
AMPD2,-0.008,-0.055,2.112e-77
FAM156B,-0.004,-0.055,1.596e-77
HAUS7,-0.006,-0.055,1.524e-77
RPL31P63,-0.003,-0.055,1.087e-77
TNFSF13,-0.004,-0.055,8.954e-78
BOK-AS1,-0.004,-0.055,9.180e-78
RP11-423H2.3,-0.003,-0.055,7.080e-78
RPS4XP5,-0.003,-0.055,6.031e-78
RPL15P21,-0.003,-0.055,5.787e-78
TAS2R10,-0.003,-0.055,5.310e-78
GZMH,-0.005,-0.055,6.220e-78
KB-431C1.5,-0.003,-0.055,5.102e-78
SPINK5,-0.005,-0.055,5.263e-78
SMIM1,-0.005,-0.055,4.643e-78
SKP1P1,-0.003,-0.055,3.541e-78
RP11-779P15.2,-0.003,-0.055,3.264e-78
PKMYT1,-0.004,-0.055,3.584e-78
RP11-473O4.5,-0.004,-0.055,2.214e-78
MAP3K5,-0.021,-0.055,2.426e-78
USH1G,-0.003,-0.055,1.510e-78
TEKT2,-0.003,-0.055,1.528e-78
LAG3,-0.004,-0.055,1.654e-78
NEIL3,-0.004,-0.055,1.546e-78
POP7,-0.016,-0.055,1.755e-78
RAB36,-0.004,-0.055,1.087e-78
AC144525.1,-0.003,-0.055,6.732e-79
KCNG4,-0.003,-0.055,6.552e-79
PRRX2-AS1,-0.003,-0.055,6.737e-79
LINC01978,-0.003,-0.055,6.035e-79
LINC01580,-0.005,-0.055,6.192e-79
DNAJC25-GNG10,-0.003,-0.055,5.589e-79
APBB1,-0.019,-0.055,7.110e-79
GOLGA7,-0.021,-0.055,6.541e-79
INHBA-AS1,-0.004,-0.055,4.025e-79
ACTG1P10,-0.003,-0.055,3.258e-79
MIR1915HG,-0.003,-0.055,2.848e-79
RHOB,-0.056,-0.055,4.252e-79
OR51M1,-0.003,-0.055,1.991e-79
EEF1A1P17,-0.003,-0.055,1.929e-79
LINC00674,-0.005,-0.055,2.233e-79
CEP295NL,-0.004,-0.055,1.894e-79
ADGRG3,-0.004,-0.055,1.752e-79
PMEL,-0.005,-0.055,1.832e-79
IGKV1D-33,-0.003,-0.055,1.470e-79
TMEM249,-0.003,-0.055,1.390e-79
PIK3CD-AS2,-0.005,-0.055,1.132e-79
AC005082.12,-0.003,-0.055,8.138e-80
ZNF625-ZNF20,-0.003,-0.055,7.552e-80
TFCP2L1,-0.014,-0.055,8.083e-80
RP11-83J21.3,-0.003,-0.055,4.981e-80
PURPL,-0.004,-0.056,4.845e-80
RP11-44N12.5,-0.003,-0.056,3.146e-80
RP11-360F5.3,-0.003,-0.056,2.816e-80
MARVELD2,-0.005,-0.056,3.053e-80
PROK2,-0.003,-0.056,2.264e-80
EID3,-0.009,-0.056,2.905e-80
RPL13AP19,-0.003,-0.056,1.806e-80
LY75,-0.004,-0.056,2.043e-80
TLR5,-0.006,-0.056,2.180e-80
AARD,-0.004,-0.056,1.670e-80
LINC02712,-0.006,-0.056,1.575e-80
SCD,-0.007,-0.056,1.589e-80
RP11-697E2.11,-0.003,-0.056,1.189e-80
CTA-363E6.2,-0.005,-0.056,1.268e-80
TRH,-0.003,-0.056,8.697e-81
MIR1825,-0.003,-0.056,8.007e-81
ZSWIM9,-0.007,-0.056,7.702e-81
HNRNPCL1,-0.003,-0.056,5.915e-81
SNHG12,-0.021,-0.056,6.753e-81
DQX1,-0.003,-0.056,4.913e-81
CACNA1G-AS1,-0.003,-0.056,3.748e-81
SIGLEC14,-0.003,-0.056,3.736e-81
TRABD2A,-0.006,-0.056,4.170e-81
RALY,-0.030,-0.056,4.822e-81
IGLV1-40,-0.003,-0.056,2.590e-81
CDC42EP4,-0.021,-0.056,3.684e-81
RP4-816N1.7,-0.003,-0.056,2.440e-81
SMG1P4,-0.003,-0.056,2.321e-81
TEKT3,-0.005,-0.056,2.768e-81
AC005498.4,-0.003,-0.056,2.249e-81
YAE1,-0.011,-0.056,2.846e-81
MYL12BP1,-0.003,-0.056,1.969e-81
C11orf21,-0.003,-0.056,2.037e-81
MIR4750,-0.003,-0.056,1.745e-81
RP11-401P9.5,-0.003,-0.056,1.640e-81
SRMS,-0.003,-0.056,1.513e-81
RP11-161H23.5,-0.003,-0.056,1.398e-81
RPL3P6,-0.003,-0.056,1.148e-81
THAP2,-0.013,-0.056,1.497e-81
RPL13P5,-0.003,-0.056,1.076e-81
EIF4EBP3,-0.006,-0.056,1.325e-81
RUNX2,-0.012,-0.056,1.403e-81
SLC24A5,-0.004,-0.056,1.085e-81
PSMB1,-0.040,-0.056,1.508e-81
FCER2,-0.004,-0.056,1.016e-81
DLX5,-0.003,-0.056,7.783e-82
TXNL4A,-0.022,-0.056,9.734e-82
SDR16C5,-0.003,-0.056,6.276e-82
EIF4HP1,-0.003,-0.056,5.971e-82
CCL23,-0.003,-0.056,5.608e-82
HSPA8P8,-0.003,-0.056,5.005e-82
RP11-124D2.3,-0.003,-0.056,5.083e-82
FMNL1,-0.007,-0.056,6.216e-82
AC017002.4,-0.003,-0.056,4.410e-82
FILNC1,-0.004,-0.056,3.556e-82
BEST1,-0.008,-0.056,3.833e-82
NTRK1,-0.005,-0.056,3.104e-82
RP3-337H4.9,-0.004,-0.056,2.435e-82
RP3-329E20.2,-0.003,-0.056,1.890e-82
OR2I1P,-0.003,-0.056,1.856e-82
RAX,-0.003,-0.056,1.823e-82
NCS1,-0.006,-0.056,2.235e-82
SMN1,-0.010,-0.056,2.302e-82
NAGA,-0.010,-0.056,2.239e-82
RP11-424M21.1,-0.003,-0.056,1.593e-82
RP11-409K20.6,-0.004,-0.056,1.452e-82
RP11-544I20.2,-0.003,-0.056,1.351e-82
MYO10,-0.018,-0.056,1.889e-82
SLC39A13,-0.016,-0.056,1.602e-82
ACY1,-0.011,-0.056,1.481e-82
C16orf74,-0.005,-0.056,1.107e-82
HOXD10,-0.003,-0.057,6.063e-83
CSN1S1,-0.003,-0.057,6.006e-83
SMOX,-0.008,-0.057,7.763e-83
RPL7AP60,-0.003,-0.057,5.455e-83
RP11-190A12.10,-0.004,-0.057,5.808e-83
LBH,-0.025,-0.057,8.123e-83
RP5-1052I5.2,-0.004,-0.057,5.577e-83
RP11-817G13.3,-0.003,-0.057,3.600e-83
FAM3B,-0.004,-0.057,3.691e-83
KISS1,-0.003,-0.057,2.794e-83
C2orf81,-0.004,-0.057,2.611e-83
RP11-647P12.1,-0.003,-0.057,2.175e-83
RP11-618K13.2,-0.003,-0.057,2.156e-83
REG1B,-0.003,-0.057,1.220e-83
SHLD2P1,-0.003,-0.057,1.110e-83
EEF1A1P38,-0.003,-0.057,1.075e-83
TBC1D22A-AS1,-0.003,-0.057,1.089e-83
RPS4XP1,-0.003,-0.057,8.846e-84
RPS23P1,-0.003,-0.057,7.217e-84
LGALS7B,-0.004,-0.057,5.847e-84
INF2,-0.011,-0.057,7.779e-84
CTD-2325A15.5,-0.003,-0.057,5.239e-84
TUBB4A,-0.004,-0.057,4.594e-84
AC145124.2,-0.005,-0.057,4.788e-84
RP11-534L20.5,-0.003,-0.057,3.738e-84
RP11-705C15.4,-0.003,-0.057,3.425e-84
RPL26P6,-0.004,-0.057,3.295e-84
ADAMTS6,-0.010,-0.057,3.523e-84
FOXD2,-0.004,-0.057,2.777e-84
RPL37AP1,-0.004,-0.057,2.662e-84
EXTL2P1,-0.003,-0.057,1.998e-84
ITGB3,-0.004,-0.057,2.060e-84
TTC28-AS1,-0.005,-0.057,1.999e-84
PRIMA1,-0.005,-0.057,1.863e-84
DNASE1L3,-0.005,-0.057,1.671e-84
TMEM225B,-0.004,-0.057,1.467e-84
HCG18,-0.007,-0.057,1.687e-84
RN7SL4P,-0.003,-0.057,1.217e-84
SCAMP4,-0.016,-0.057,1.640e-84
RFPL4B,-0.003,-0.057,1.012e-84
PKD2L1,-0.004,-0.057,1.145e-84
ELF4,-0.006,-0.057,1.205e-84
HSPB1P2,-0.003,-0.057,8.058e-85
AC147651.1,-0.005,-0.057,9.286e-85
CD207,-0.003,-0.057,6.203e-85
CST5,-0.003,-0.057,5.005e-85
SPIN2A,-0.005,-0.057,4.953e-85
RPL5P1,-0.004,-0.057,3.318e-85
FAM133CP,-0.003,-0.057,2.430e-85
PEPD,-0.019,-0.057,3.166e-85
RP4-799D16.1,-0.004,-0.057,2.235e-85
NHEJ1,-0.007,-0.057,2.250e-85
RP3-330M21.5,-0.004,-0.057,1.962e-85
LILRB5,-0.004,-0.057,1.678e-85
AC000036.4,-0.003,-0.057,1.547e-85
ANXA9,-0.004,-0.057,1.709e-85
RPS27AP6,-0.003,-0.057,1.430e-85
RAG1,-0.005,-0.057,1.601e-85
DCAF12L2,-0.003,-0.057,1.243e-85
BTN3A3,-0.007,-0.057,1.163e-85
CTRC,-0.003,-0.058,9.052e-86
FZD10-AS1,-0.004,-0.058,7.518e-86
C22orf15,-0.004,-0.058,6.636e-86
RP11-304M2.5,-0.004,-0.058,5.279e-86
ODF2L,-0.020,-0.058,6.629e-86
SMCO4,-0.011,-0.058,4.815e-86
EEF1A1P4,-0.003,-0.058,2.131e-86
TNFRSF18,-0.005,-0.058,1.888e-86
EPN3,-0.003,-0.058,1.555e-86
IL13RA2,-0.003,-0.058,1.188e-86
TRAM1L1,-0.004,-0.058,1.139e-86
IQGAP2,-0.011,-0.058,1.114e-86
CHL1,-0.009,-0.058,9.513e-87
TGFB2-OT1,-0.003,-0.058,6.234e-87
CUZD1,-0.005,-0.058,7.213e-87
IGLL5,-0.003,-0.058,6.249e-87
SBSPON,-0.008,-0.058,7.225e-87
H3C1,-0.003,-0.058,5.007e-87
CARMAL,-0.005,-0.058,4.811e-87
SERPINB5,-0.005,-0.058,3.723e-87
NACA2,-0.009,-0.058,3.903e-87
RP11-731K22.1,-0.003,-0.058,2.791e-87
OR2M4,-0.003,-0.058,2.392e-87
RP11-424N24.2,-0.004,-0.058,2.615e-87
COLEC10,-0.004,-0.058,2.478e-87
RPL15P14,-0.003,-0.058,2.090e-87
ALOX12,-0.005,-0.058,2.316e-87
CEP41,-0.009,-0.058,2.307e-87
SHISAL1,-0.003,-0.058,1.747e-87
LINC01705,-0.004,-0.058,1.573e-87
COL8A1,-0.012,-0.058,1.801e-87
MAP3K4-AS1,-0.004,-0.058,1.415e-87
ITGA2,-0.006,-0.058,1.458e-87
NECTIN1,-0.007,-0.058,1.239e-87
HAPLN4,-0.003,-0.058,9.257e-88
RP11-286E11.2,-0.003,-0.058,8.574e-88
FDPS,-0.027,-0.058,1.168e-87
B4GALT1,-0.031,-0.058,1.114e-87
ROM1,-0.006,-0.058,8.248e-88
ADCY7,-0.010,-0.058,8.714e-88
AC003986.6,-0.003,-0.058,5.967e-88
SHISA3,-0.006,-0.058,6.059e-88
CD79A,-0.004,-0.058,4.254e-88
RP11-411B10.3,-0.003,-0.058,3.736e-88
CFAP300,-0.006,-0.058,4.311e-88
PRSS1,-0.003,-0.058,3.111e-88
STX10,-0.021,-0.058,4.486e-88
LINC01048,-0.003,-0.058,2.265e-88
TPT1P6,-0.003,-0.058,2.165e-88
AGRN,-0.007,-0.058,2.501e-88
PANTR1,-0.003,-0.058,1.926e-88
NPIPB6,-0.007,-0.058,2.258e-88
LRRC42,-0.012,-0.058,2.501e-88
PHF5A,-0.018,-0.058,2.470e-88
PLA2G7,-0.005,-0.058,1.835e-88
SNORA1,-0.003,-0.059,8.416e-89
CCT4P1,-0.003,-0.059,8.100e-89
RPL34P31,-0.003,-0.059,7.209e-89
RP11-301N24.5,-0.003,-0.059,6.419e-89
CTD-2116N20.1,-0.003,-0.059,6.273e-89
PFN1P1,-0.004,-0.059,6.138e-89
AMIGO2,-0.006,-0.059,6.587e-89
